ReferringTicketID,1,2,3,4,5,6,7,8,9,10,11,12,13,JIRACheck
BOOKKEEPER-477,IA,OA,F,-,-,-,-,-,-,-,-,-,-,NOT_REPORTED
BOOKKEEPER-479,IA,OA,F,-,-,-,-,-,-,-,-,-,-,NOT_REPORTED
BOOKKEEPER-480,IA,OA,F,-,-,-,-,-,-,-,-,-,-,NOT_REPORTED
BOOKKEEPER-481,IA,OA,F,-,-,-,-,-,-,-,-,-,-,NOT_REPORTED
BOOKKEEPER-482,IA,OA,F,-,-,-,-,-,-,-,-,-,-,NOT_REPORTED
BOOKKEEPER-483,IA,OA,F,-,-,-,-,-,-,-,-,-,-,NOT_REPORTED
BOOKKEEPER-484,IA,OA,F,-,-,-,-,-,-,-,-,-,-,NOT_REPORTED
BOOKKEEPER-485,IA,OA,F,-,-,-,-,-,-,-,-,-,-,NOT_REPORTED
BOOKKEEPER-493,IA,OA,F,-,-,-,-,-,-,-,-,-,-,NOT_REPORTED
BOOKKEEPER-497,IA,OA,F,-,-,-,-,-,-,-,-,-,-,NOT_REPORTED
BOOKKEEPER-498,IA,OA,F,-,-,-,-,-,-,-,-,-,-,NOT_REPORTED
BOOKKEEPER-500,IA,OA,F,-,-,-,-,-,-,-,-,-,-,FV_AS_AV
BOOKKEEPER-503,IA,OA,F,-,-,-,-,-,-,-,-,-,-,NOT_REPORTED
BOOKKEEPER-504,IA,OA,F,-,-,-,-,-,-,-,-,-,-,NOT_REPORTED
BOOKKEEPER-507,IA,OA,F,-,-,-,-,-,-,-,-,-,-,NOT_REPORTED
BOOKKEEPER-509,IA,OA,F,-,-,-,-,-,-,-,-,-,-,NOT_REPORTED
BOOKKEEPER-511,IA,OA,F,-,-,-,-,-,-,-,-,-,-,NOT_REPORTED
BOOKKEEPER-512,IA,OA,F,-,-,-,-,-,-,-,-,-,-,NOT_REPORTED
BOOKKEEPER-513,IA,OA,F,-,-,-,-,-,-,-,-,-,-,NOT_REPORTED
BOOKKEEPER-514,IA,OA,F,-,-,-,-,-,-,-,-,-,-,NOT_REPORTED
BOOKKEEPER-520,IA,OA,F,-,-,-,-,-,-,-,-,-,-,NOT_REPORTED
BOOKKEEPER-522,IA,OA,F,-,-,-,-,-,-,-,-,-,-,NOT_REPORTED
BOOKKEEPER-524,IA,OA,F,-,-,-,-,-,-,-,-,-,-,IV_AFTER_OV*FV_AS_AV
BOOKKEEPER-530,-,IOA,F,-,-,-,-,-,-,-,-,-,-,OK
BOOKKEEPER-531,IA,OA,F,-,-,-,-,-,-,-,-,-,-,NOT_REPORTED
BOOKKEEPER-532,IA,OA,F,-,-,-,-,-,-,-,-,-,-,NOT_REPORTED
BOOKKEEPER-533,IA,OA,F,-,-,-,-,-,-,-,-,-,-,NOT_REPORTED
BOOKKEEPER-534,IA,OA,F,-,-,-,-,-,-,-,-,-,-,NOT_REPORTED
BOOKKEEPER-538,IA,OA,F,-,-,-,-,-,-,-,-,-,-,NOT_REPORTED
BOOKKEEPER-539,IA,OA,F,-,-,-,-,-,-,-,-,-,-,NOT_REPORTED
BOOKKEEPER-543,-,IOA,F,-,-,-,-,-,-,-,-,-,-,OK
BOOKKEEPER-544,IA,A,OA,A,F,-,-,-,-,-,-,-,-,NOT_REPORTED
BOOKKEEPER-548,IA,A,OA,F,-,-,-,-,-,-,-,-,-,NOT_REPORTED
BOOKKEEPER-549,IA,A,OA,F,-,-,-,-,-,-,-,-,-,NOT_REPORTED
BOOKKEEPER-554,-,-,IOA,F,-,-,-,-,-,-,-,-,-,OK
BOOKKEEPER-556,IA,A,OA,F,-,-,-,-,-,-,-,-,-,NOT_REPORTED
BOOKKEEPER-557,IA,A,OA,F,-,-,-,-,-,-,-,-,-,NOT_REPORTED
BOOKKEEPER-559,-,-,IOA,F,-,-,-,-,-,-,-,-,-,OK
BOOKKEEPER-561,IA,A,OA,F,-,-,-,-,-,-,-,-,-,NOT_REPORTED
BOOKKEEPER-567,IA,A,OA,F,-,-,-,-,-,-,-,-,-,NOT_REPORTED
BOOKKEEPER-568,-,-,IOA,F,-,-,-,-,-,-,-,-,-,OK
BOOKKEEPER-569,IA,A,OA,F,-,-,-,-,-,-,-,-,-,NOT_REPORTED
BOOKKEEPER-577,IA,A,A,OA,F,-,-,-,-,-,-,-,-,NOT_REPORTED
BOOKKEEPER-578,IA,A,A,OA,A,A,A,A,A,F,-,-,-,NOT_REPORTED
BOOKKEEPER-579,IA,A,OA,F,-,-,-,-,-,-,-,-,-,NOT_REPORTED
BOOKKEEPER-580,IA,A,A,OA,F,-,-,-,-,-,-,-,-,NOT_REPORTED
BOOKKEEPER-581,IA,A,OA,F,-,-,-,-,-,-,-,-,-,FV_AS_AV
BOOKKEEPER-583,IA,A,OA,F,-,-,-,-,-,-,-,-,-,IV_AFTER_OV*FV_AS_AV
BOOKKEEPER-584,-,-,IA,OA,F,-,-,-,-,-,-,-,-,AVS_NOT_CONSISTENT
BOOKKEEPER-585,IA,A,OA,F,-,-,-,-,-,-,-,-,-,NOT_REPORTED
BOOKKEEPER-586,IA,A,OA,F,-,-,-,-,-,-,-,-,-,NOT_REPORTED
BOOKKEEPER-594,IA,A,A,OA,A,A,A,A,A,F,-,-,-,NOT_REPORTED
BOOKKEEPER-596,-,-,IA,OA,F,-,-,-,-,-,-,-,-,OK
BOOKKEEPER-597,IA,A,A,OA,F,-,-,-,-,-,-,-,-,NOT_REPORTED
BOOKKEEPER-598,-,-,-,IOA,F,-,-,-,-,-,-,-,-,OK
BOOKKEEPER-599,-,-,IA,OA,F,-,-,-,-,-,-,-,-,OK
BOOKKEEPER-600,-,-,IA,OA,F,-,-,-,-,-,-,-,-,OK
