Dataset,#TrainingRelease,%training,%Defective_in_training,%Defective_in_testing,Classifier,Feature_Selection,Balancing,Sensitivity,TP,FP,TN,FN,Precision,Recall,AUC,Kappa
BOOKKEEPER,1,15.824357912178955,11.764705882352942,14.747307373653687,RandomForest,BestFirstFilter,OverSampling,SensitiveThreshold,172.0,135.0,38.0,6.0,0.5602605863192183,0.9662921348314607,0.592972657011106,0.18791329603071721
BOOKKEEPER,1,15.824357912178955,11.764705882352942,14.747307373653687,RandomForest,BestFirstFilter,OverSampling,SensitiveLearning,175.0,173.0,0.0,3.0,0.5028735632183908,0.9831460674157303,0.5167240371500942,-0.0170897955151635
BOOKKEEPER,1,15.824357912178955,11.764705882352942,14.747307373653687,RandomForest,BestFirstFilter,SMOTESampling,NoCostSensitive,161.0,102.0,71.0,17.0,0.6121673003802282,0.9044943820224719,0.705023705916737,0.3170871278387259
BOOKKEEPER,1,15.824357912178955,11.764705882352942,14.747307373653687,RandomForest,BestFirstFilter,SMOTESampling,SensitiveThreshold,175.0,143.0,30.0,3.0,0.550314465408805,0.9831460674157303,0.5782782360200039,0.15835632636972793
BOOKKEEPER,1,15.824357912178955,11.764705882352942,14.747307373653687,RandomForest,BestFirstFilter,SMOTESampling,SensitiveLearning,178.0,173.0,0.0,0.0,0.5071225071225072,1.0,0.45590050009742156,0.0
BOOKKEEPER,1,15.824357912178955,11.764705882352942,14.747307373653687,NaiveBayes,NoFilter,NoSampling,NoCostSensitive,136.0,99.0,74.0,42.0,0.5787234042553191,0.7640449438202247,0.66613626031045,0.1926822504608258
BOOKKEEPER,1,15.824357912178955,11.764705882352942,14.747307373653687,NaiveBayes,NoFilter,NoSampling,SensitiveThreshold,178.0,172.0,1.0,0.0,0.5085714285714286,1.0,0.5028901734104047,0.005862205243050899
BOOKKEEPER,1,15.824357912178955,11.764705882352942,14.747307373653687,NaiveBayes,NoFilter,NoSampling,SensitiveLearning,178.0,172.0,1.0,0.0,0.5085714285714286,1.0,0.66613626031045,0.005862205243050899
BOOKKEEPER,1,15.824357912178955,11.764705882352942,14.747307373653687,NaiveBayes,NoFilter,UnderSampling,NoCostSensitive,38.0,68.0,105.0,140.0,0.3584905660377358,0.21348314606741572,0.35182178346431126,-0.1785368373474527
BOOKKEEPER,1,15.824357912178955,11.764705882352942,14.747307373653687,NaiveBayes,NoFilter,UnderSampling,SensitiveThreshold,38.0,68.0,105.0,140.0,0.3584905660377358,0.21348314606741572,0.41020978112619344,-0.1785368373474527
BOOKKEEPER,1,15.824357912178955,11.764705882352942,14.747307373653687,NaiveBayes,NoFilter,UnderSampling,SensitiveLearning,98.0,38.0,135.0,80.0,0.7205882352941176,0.550561797752809,0.727625511463272,0.3297841354089129
BOOKKEEPER,1,15.824357912178955,11.764705882352942,14.747307373653687,NaiveBayes,NoFilter,OverSampling,NoCostSensitive,135.0,85.0,88.0,43.0,0.6136363636363636,0.7584269662921348,0.6699519386893551,0.2680113395679235
BOOKKEEPER,1,15.824357912178955,11.764705882352942,14.747307373653687,NaiveBayes,NoFilter,OverSampling,SensitiveThreshold,178.0,171.0,2.0,0.0,0.5100286532951289,1.0,0.5057803468208093,0.011723445243936412
